ROI,Subject,Effect, LocalizerSize,EffectSize
1,249_FED_20160519a_3T1_PL2017,Pic_Sem, 0,NaN
1,249_FED_20160519a_3T1_PL2017,Pic_Perc, 0,NaN
1,249_FED_20160519a_3T1_PL2017,Sent_Sem, 0,NaN
1,249_FED_20160519a_3T1_PL2017,Sent_Perc, 0,NaN
1,252_FED_20160907b_3T2_PL2017,Pic_Sem, 0,NaN
1,252_FED_20160907b_3T2_PL2017,Pic_Perc, 0,NaN
1,252_FED_20160907b_3T2_PL2017,Sent_Sem, 0,NaN
1,252_FED_20160907b_3T2_PL2017,Sent_Perc, 0,NaN
1,291_FED_20160803c_3T1_PL2017,Pic_Sem, 0,NaN
1,291_FED_20160803c_3T1_PL2017,Pic_Perc, 0,NaN
1,291_FED_20160803c_3T1_PL2017,Sent_Sem, 0,NaN
1,291_FED_20160803c_3T1_PL2017,Sent_Perc, 0,NaN
1,301_FED_20160908b_3T1_PL2017,Pic_Sem, 0,NaN
1,301_FED_20160908b_3T1_PL2017,Pic_Perc, 0,NaN
1,301_FED_20160908b_3T1_PL2017,Sent_Sem, 0,NaN
1,301_FED_20160908b_3T1_PL2017,Sent_Perc, 0,NaN
1,376_FED_20160519b_3T1_PL2017,Pic_Sem, 0,NaN
1,376_FED_20160519b_3T1_PL2017,Pic_Perc, 0,NaN
1,376_FED_20160519b_3T1_PL2017,Sent_Sem, 0,NaN
1,376_FED_20160519b_3T1_PL2017,Sent_Perc, 0,NaN
1,399_FED_20160519d_3T1_PL2017,Pic_Sem, 0,NaN
1,399_FED_20160519d_3T1_PL2017,Pic_Perc, 0,NaN
1,399_FED_20160519d_3T1_PL2017,Sent_Sem, 0,NaN
1,399_FED_20160519d_3T1_PL2017,Sent_Perc, 0,NaN
1,400_FED_20160520a_3T1_PL2017,Pic_Sem, 0,NaN
1,400_FED_20160520a_3T1_PL2017,Pic_Perc, 0,NaN
1,400_FED_20160520a_3T1_PL2017,Sent_Sem, 0,NaN
1,400_FED_20160520a_3T1_PL2017,Sent_Perc, 0,NaN
1,401_FED_20160520d_3T1_PL2017,Pic_Sem, 0,NaN
1,401_FED_20160520d_3T1_PL2017,Pic_Perc, 0,NaN
1,401_FED_20160520d_3T1_PL2017,Sent_Sem, 0,NaN
1,401_FED_20160520d_3T1_PL2017,Sent_Perc, 0,NaN
1,419_FED_20160805a_3T1_PL2017,Pic_Sem, 0,NaN
1,419_FED_20160805a_3T1_PL2017,Pic_Perc, 0,NaN
1,419_FED_20160805a_3T1_PL2017,Sent_Sem, 0,NaN
1,419_FED_20160805a_3T1_PL2017,Sent_Perc, 0,NaN
1,420_FED_20160805b_3T1_PL2017,Pic_Sem, 0,NaN
1,420_FED_20160805b_3T1_PL2017,Pic_Perc, 0,NaN
1,420_FED_20160805b_3T1_PL2017,Sent_Sem, 0,NaN
1,420_FED_20160805b_3T1_PL2017,Sent_Perc, 0,NaN
1,426_FED_20160908d_3T1_PL2017,Pic_Sem, 0,NaN
1,426_FED_20160908d_3T1_PL2017,Pic_Perc, 0,NaN
1,426_FED_20160908d_3T1_PL2017,Sent_Sem, 0,NaN
1,426_FED_20160908d_3T1_PL2017,Sent_Perc, 0,NaN
1,682_FED_20190426a_3T2_PL2017,Pic_Sem, 0,NaN
1,682_FED_20190426a_3T2_PL2017,Pic_Perc, 0,NaN
1,682_FED_20190426a_3T2_PL2017,Sent_Sem, 0,NaN
1,682_FED_20190426a_3T2_PL2017,Sent_Perc, 0,NaN
1,767_FED_20190418b_3T2_PL2017,Pic_Sem, 0,NaN
1,767_FED_20190418b_3T2_PL2017,Pic_Perc, 0,NaN
1,767_FED_20190418b_3T2_PL2017,Sent_Sem, 0,NaN
1,767_FED_20190418b_3T2_PL2017,Sent_Perc, 0,NaN
1,768_FED_20190517a_3T2_PL2017,Pic_Sem, 0,NaN
1,768_FED_20190517a_3T2_PL2017,Pic_Perc, 0,NaN
1,768_FED_20190517a_3T2_PL2017,Sent_Sem, 0,NaN
1,768_FED_20190517a_3T2_PL2017,Sent_Perc, 0,NaN
1,769_FED_20190522a_3T2_PL2017,Pic_Sem, 0,NaN
1,769_FED_20190522a_3T2_PL2017,Pic_Perc, 0,NaN
1,769_FED_20190522a_3T2_PL2017,Sent_Sem, 0,NaN
1,769_FED_20190522a_3T2_PL2017,Sent_Perc, 0,NaN
1,770_FED_20190523b_3T2_PL2017,Pic_Sem, 0,NaN
1,770_FED_20190523b_3T2_PL2017,Pic_Perc, 0,NaN
1,770_FED_20190523b_3T2_PL2017,Sent_Sem, 0,NaN
1,770_FED_20190523b_3T2_PL2017,Sent_Perc, 0,NaN
1,773_FED_20190605c_3T2_PL2017,Pic_Sem, 0,NaN
1,773_FED_20190605c_3T2_PL2017,Pic_Perc, 0,NaN
1,773_FED_20190605c_3T2_PL2017,Sent_Sem, 0,NaN
1,773_FED_20190605c_3T2_PL2017,Sent_Perc, 0,NaN
1,774_FED_20190605b_3T2_PL2017,Pic_Sem, 0,NaN
1,774_FED_20190605b_3T2_PL2017,Pic_Perc, 0,NaN
1,774_FED_20190605b_3T2_PL2017,Sent_Sem, 0,NaN
1,774_FED_20190605b_3T2_PL2017,Sent_Perc, 0,NaN
1,775_FED_20190611a_3T2_PL2017,Pic_Sem, 0,NaN
1,775_FED_20190611a_3T2_PL2017,Pic_Perc, 0,NaN
1,775_FED_20190611a_3T2_PL2017,Sent_Sem, 0,NaN
1,775_FED_20190611a_3T2_PL2017,Sent_Perc, 0,NaN
1,778_FED_20190614b_3T2_PL2017,Pic_Sem, 0,NaN
1,778_FED_20190614b_3T2_PL2017,Pic_Perc, 0,NaN
1,778_FED_20190614b_3T2_PL2017,Sent_Sem, 0,NaN
1,778_FED_20190614b_3T2_PL2017,Sent_Perc, 0,NaN
1,863_FED_20211124a_3T1_PL2017,Pic_Sem, 0,NaN
1,863_FED_20211124a_3T1_PL2017,Pic_Perc, 0,NaN
1,863_FED_20211124a_3T1_PL2017,Sent_Sem, 0,NaN
1,863_FED_20211124a_3T1_PL2017,Sent_Perc, 0,NaN
2,249_FED_20160519a_3T1_PL2017,Pic_Sem, 0,NaN
2,249_FED_20160519a_3T1_PL2017,Pic_Perc, 0,NaN
2,249_FED_20160519a_3T1_PL2017,Sent_Sem, 0,NaN
2,249_FED_20160519a_3T1_PL2017,Sent_Perc, 0,NaN
2,252_FED_20160907b_3T2_PL2017,Pic_Sem, 0,NaN
2,252_FED_20160907b_3T2_PL2017,Pic_Perc, 0,NaN
2,252_FED_20160907b_3T2_PL2017,Sent_Sem, 0,NaN
2,252_FED_20160907b_3T2_PL2017,Sent_Perc, 0,NaN
2,291_FED_20160803c_3T1_PL2017,Pic_Sem, 0,NaN
2,291_FED_20160803c_3T1_PL2017,Pic_Perc, 0,NaN
2,291_FED_20160803c_3T1_PL2017,Sent_Sem, 0,NaN
2,291_FED_20160803c_3T1_PL2017,Sent_Perc, 0,NaN
2,301_FED_20160908b_3T1_PL2017,Pic_Sem, 0,NaN
2,301_FED_20160908b_3T1_PL2017,Pic_Perc, 0,NaN
2,301_FED_20160908b_3T1_PL2017,Sent_Sem, 0,NaN
2,301_FED_20160908b_3T1_PL2017,Sent_Perc, 0,NaN
2,376_FED_20160519b_3T1_PL2017,Pic_Sem, 0,NaN
2,376_FED_20160519b_3T1_PL2017,Pic_Perc, 0,NaN
2,376_FED_20160519b_3T1_PL2017,Sent_Sem, 0,NaN
2,376_FED_20160519b_3T1_PL2017,Sent_Perc, 0,NaN
2,399_FED_20160519d_3T1_PL2017,Pic_Sem, 0,NaN
2,399_FED_20160519d_3T1_PL2017,Pic_Perc, 0,NaN
2,399_FED_20160519d_3T1_PL2017,Sent_Sem, 0,NaN
2,399_FED_20160519d_3T1_PL2017,Sent_Perc, 0,NaN
2,400_FED_20160520a_3T1_PL2017,Pic_Sem, 0,NaN
2,400_FED_20160520a_3T1_PL2017,Pic_Perc, 0,NaN
2,400_FED_20160520a_3T1_PL2017,Sent_Sem, 0,NaN
2,400_FED_20160520a_3T1_PL2017,Sent_Perc, 0,NaN
2,401_FED_20160520d_3T1_PL2017,Pic_Sem, 0,NaN
2,401_FED_20160520d_3T1_PL2017,Pic_Perc, 0,NaN
2,401_FED_20160520d_3T1_PL2017,Sent_Sem, 0,NaN
2,401_FED_20160520d_3T1_PL2017,Sent_Perc, 0,NaN
2,419_FED_20160805a_3T1_PL2017,Pic_Sem, 0,NaN
2,419_FED_20160805a_3T1_PL2017,Pic_Perc, 0,NaN
2,419_FED_20160805a_3T1_PL2017,Sent_Sem, 0,NaN
2,419_FED_20160805a_3T1_PL2017,Sent_Perc, 0,NaN
2,420_FED_20160805b_3T1_PL2017,Pic_Sem, 0,NaN
2,420_FED_20160805b_3T1_PL2017,Pic_Perc, 0,NaN
2,420_FED_20160805b_3T1_PL2017,Sent_Sem, 0,NaN
2,420_FED_20160805b_3T1_PL2017,Sent_Perc, 0,NaN
2,426_FED_20160908d_3T1_PL2017,Pic_Sem, 0,NaN
2,426_FED_20160908d_3T1_PL2017,Pic_Perc, 0,NaN
2,426_FED_20160908d_3T1_PL2017,Sent_Sem, 0,NaN
2,426_FED_20160908d_3T1_PL2017,Sent_Perc, 0,NaN
2,682_FED_20190426a_3T2_PL2017,Pic_Sem, 0,NaN
2,682_FED_20190426a_3T2_PL2017,Pic_Perc, 0,NaN
2,682_FED_20190426a_3T2_PL2017,Sent_Sem, 0,NaN
2,682_FED_20190426a_3T2_PL2017,Sent_Perc, 0,NaN
2,767_FED_20190418b_3T2_PL2017,Pic_Sem, 0,NaN
2,767_FED_20190418b_3T2_PL2017,Pic_Perc, 0,NaN
2,767_FED_20190418b_3T2_PL2017,Sent_Sem, 0,NaN
2,767_FED_20190418b_3T2_PL2017,Sent_Perc, 0,NaN
2,768_FED_20190517a_3T2_PL2017,Pic_Sem, 0,NaN
2,768_FED_20190517a_3T2_PL2017,Pic_Perc, 0,NaN
2,768_FED_20190517a_3T2_PL2017,Sent_Sem, 0,NaN
2,768_FED_20190517a_3T2_PL2017,Sent_Perc, 0,NaN
2,769_FED_20190522a_3T2_PL2017,Pic_Sem, 0,NaN
2,769_FED_20190522a_3T2_PL2017,Pic_Perc, 0,NaN
2,769_FED_20190522a_3T2_PL2017,Sent_Sem, 0,NaN
2,769_FED_20190522a_3T2_PL2017,Sent_Perc, 0,NaN
2,770_FED_20190523b_3T2_PL2017,Pic_Sem, 0,NaN
2,770_FED_20190523b_3T2_PL2017,Pic_Perc, 0,NaN
2,770_FED_20190523b_3T2_PL2017,Sent_Sem, 0,NaN
2,770_FED_20190523b_3T2_PL2017,Sent_Perc, 0,NaN
2,773_FED_20190605c_3T2_PL2017,Pic_Sem, 0,NaN
2,773_FED_20190605c_3T2_PL2017,Pic_Perc, 0,NaN
2,773_FED_20190605c_3T2_PL2017,Sent_Sem, 0,NaN
2,773_FED_20190605c_3T2_PL2017,Sent_Perc, 0,NaN
2,774_FED_20190605b_3T2_PL2017,Pic_Sem, 0,NaN
2,774_FED_20190605b_3T2_PL2017,Pic_Perc, 0,NaN
2,774_FED_20190605b_3T2_PL2017,Sent_Sem, 0,NaN
2,774_FED_20190605b_3T2_PL2017,Sent_Perc, 0,NaN
2,775_FED_20190611a_3T2_PL2017,Pic_Sem, 0,NaN
2,775_FED_20190611a_3T2_PL2017,Pic_Perc, 0,NaN
2,775_FED_20190611a_3T2_PL2017,Sent_Sem, 0,NaN
2,775_FED_20190611a_3T2_PL2017,Sent_Perc, 0,NaN
2,778_FED_20190614b_3T2_PL2017,Pic_Sem, 0,NaN
2,778_FED_20190614b_3T2_PL2017,Pic_Perc, 0,NaN
2,778_FED_20190614b_3T2_PL2017,Sent_Sem, 0,NaN
2,778_FED_20190614b_3T2_PL2017,Sent_Perc, 0,NaN
2,863_FED_20211124a_3T1_PL2017,Pic_Sem, 0,NaN
2,863_FED_20211124a_3T1_PL2017,Pic_Perc, 0,NaN
2,863_FED_20211124a_3T1_PL2017,Sent_Sem, 0,NaN
2,863_FED_20211124a_3T1_PL2017,Sent_Perc, 0,NaN
3,249_FED_20160519a_3T1_PL2017,Pic_Sem, 0,NaN
3,249_FED_20160519a_3T1_PL2017,Pic_Perc, 0,NaN
3,249_FED_20160519a_3T1_PL2017,Sent_Sem, 0,NaN
3,249_FED_20160519a_3T1_PL2017,Sent_Perc, 0,NaN
3,252_FED_20160907b_3T2_PL2017,Pic_Sem, 0,NaN
3,252_FED_20160907b_3T2_PL2017,Pic_Perc, 0,NaN
3,252_FED_20160907b_3T2_PL2017,Sent_Sem, 0,NaN
3,252_FED_20160907b_3T2_PL2017,Sent_Perc, 0,NaN
3,291_FED_20160803c_3T1_PL2017,Pic_Sem, 0,NaN
3,291_FED_20160803c_3T1_PL2017,Pic_Perc, 0,NaN
3,291_FED_20160803c_3T1_PL2017,Sent_Sem, 0,NaN
3,291_FED_20160803c_3T1_PL2017,Sent_Perc, 0,NaN
3,301_FED_20160908b_3T1_PL2017,Pic_Sem, 0,NaN
3,301_FED_20160908b_3T1_PL2017,Pic_Perc, 0,NaN
3,301_FED_20160908b_3T1_PL2017,Sent_Sem, 0,NaN
3,301_FED_20160908b_3T1_PL2017,Sent_Perc, 0,NaN
3,376_FED_20160519b_3T1_PL2017,Pic_Sem, 0,NaN
3,376_FED_20160519b_3T1_PL2017,Pic_Perc, 0,NaN
3,376_FED_20160519b_3T1_PL2017,Sent_Sem, 0,NaN
3,376_FED_20160519b_3T1_PL2017,Sent_Perc, 0,NaN
3,399_FED_20160519d_3T1_PL2017,Pic_Sem, 0,NaN
3,399_FED_20160519d_3T1_PL2017,Pic_Perc, 0,NaN
3,399_FED_20160519d_3T1_PL2017,Sent_Sem, 0,NaN
3,399_FED_20160519d_3T1_PL2017,Sent_Perc, 0,NaN
3,400_FED_20160520a_3T1_PL2017,Pic_Sem, 0,NaN
3,400_FED_20160520a_3T1_PL2017,Pic_Perc, 0,NaN
3,400_FED_20160520a_3T1_PL2017,Sent_Sem, 0,NaN
3,400_FED_20160520a_3T1_PL2017,Sent_Perc, 0,NaN
3,401_FED_20160520d_3T1_PL2017,Pic_Sem, 0,NaN
3,401_FED_20160520d_3T1_PL2017,Pic_Perc, 0,NaN
3,401_FED_20160520d_3T1_PL2017,Sent_Sem, 0,NaN
3,401_FED_20160520d_3T1_PL2017,Sent_Perc, 0,NaN
3,419_FED_20160805a_3T1_PL2017,Pic_Sem, 0,NaN
3,419_FED_20160805a_3T1_PL2017,Pic_Perc, 0,NaN
3,419_FED_20160805a_3T1_PL2017,Sent_Sem, 0,NaN
3,419_FED_20160805a_3T1_PL2017,Sent_Perc, 0,NaN
3,420_FED_20160805b_3T1_PL2017,Pic_Sem, 0,NaN
3,420_FED_20160805b_3T1_PL2017,Pic_Perc, 0,NaN
3,420_FED_20160805b_3T1_PL2017,Sent_Sem, 0,NaN
3,420_FED_20160805b_3T1_PL2017,Sent_Perc, 0,NaN
3,426_FED_20160908d_3T1_PL2017,Pic_Sem, 0,NaN
3,426_FED_20160908d_3T1_PL2017,Pic_Perc, 0,NaN
3,426_FED_20160908d_3T1_PL2017,Sent_Sem, 0,NaN
3,426_FED_20160908d_3T1_PL2017,Sent_Perc, 0,NaN
3,682_FED_20190426a_3T2_PL2017,Pic_Sem, 0,NaN
3,682_FED_20190426a_3T2_PL2017,Pic_Perc, 0,NaN
3,682_FED_20190426a_3T2_PL2017,Sent_Sem, 0,NaN
3,682_FED_20190426a_3T2_PL2017,Sent_Perc, 0,NaN
3,767_FED_20190418b_3T2_PL2017,Pic_Sem, 0,NaN
3,767_FED_20190418b_3T2_PL2017,Pic_Perc, 0,NaN
3,767_FED_20190418b_3T2_PL2017,Sent_Sem, 0,NaN
3,767_FED_20190418b_3T2_PL2017,Sent_Perc, 0,NaN
3,768_FED_20190517a_3T2_PL2017,Pic_Sem, 0,NaN
3,768_FED_20190517a_3T2_PL2017,Pic_Perc, 0,NaN
3,768_FED_20190517a_3T2_PL2017,Sent_Sem, 0,NaN
3,768_FED_20190517a_3T2_PL2017,Sent_Perc, 0,NaN
3,769_FED_20190522a_3T2_PL2017,Pic_Sem, 0,NaN
3,769_FED_20190522a_3T2_PL2017,Pic_Perc, 0,NaN
3,769_FED_20190522a_3T2_PL2017,Sent_Sem, 0,NaN
3,769_FED_20190522a_3T2_PL2017,Sent_Perc, 0,NaN
3,770_FED_20190523b_3T2_PL2017,Pic_Sem, 0,NaN
3,770_FED_20190523b_3T2_PL2017,Pic_Perc, 0,NaN
3,770_FED_20190523b_3T2_PL2017,Sent_Sem, 0,NaN
3,770_FED_20190523b_3T2_PL2017,Sent_Perc, 0,NaN
3,773_FED_20190605c_3T2_PL2017,Pic_Sem, 0,NaN
3,773_FED_20190605c_3T2_PL2017,Pic_Perc, 0,NaN
3,773_FED_20190605c_3T2_PL2017,Sent_Sem, 0,NaN
3,773_FED_20190605c_3T2_PL2017,Sent_Perc, 0,NaN
3,774_FED_20190605b_3T2_PL2017,Pic_Sem, 0,NaN
3,774_FED_20190605b_3T2_PL2017,Pic_Perc, 0,NaN
3,774_FED_20190605b_3T2_PL2017,Sent_Sem, 0,NaN
3,774_FED_20190605b_3T2_PL2017,Sent_Perc, 0,NaN
3,775_FED_20190611a_3T2_PL2017,Pic_Sem, 0,NaN
3,775_FED_20190611a_3T2_PL2017,Pic_Perc, 0,NaN
3,775_FED_20190611a_3T2_PL2017,Sent_Sem, 0,NaN
3,775_FED_20190611a_3T2_PL2017,Sent_Perc, 0,NaN
3,778_FED_20190614b_3T2_PL2017,Pic_Sem, 0,NaN
